task,family,n_ceiling,ci_low,ci_high,ci_width,n_boot_valid,cross_seed_mean,cross_seed_std
annual_checkup,health,0.2607,0.2449,0.2738,0.0289,1000,0.2603,0.0008
arthritis,health,0.2661,0.2483,0.2825,0.0342,1000,0.2662,0.0003
asthma,health,0.3059,0.2835,0.3222,0.0387,1000,0.3056,0.0003
binge_drinking,health,0.4436,0.4366,0.4503,0.0136,1000,0.4432,0.0007
bp_medicated,health,0.2569,0.244,0.2686,0.0247,1000,0.2578,0.0015
cancer,health,0.3223,0.3033,0.345,0.0417,1000,0.3218,0.0004
cholesterol_screening,health,0.3571,0.3198,0.3941,0.0743,1000,0.3586,0.001
chronic_kidney_disease,health,0.3098,0.2897,0.3322,0.0425,1000,0.31,0.0006
copd,health,0.1996,0.1864,0.2102,0.0238,1000,0.1997,0.0001
coronary_heart_disease,health,0.2936,0.2741,0.3131,0.0391,1000,0.2941,0.0004
dental_visit,health,0.1747,0.1704,0.1805,0.0102,1000,0.175,0.0002
diabetes,health,0.2204,0.206,0.2344,0.0284,1000,0.2206,0.0004
elevation,environmental,0.1175,0.1081,0.1271,0.019,1000,0.1177,0.0007
high_blood_pressure,health,0.2363,0.2206,0.2442,0.0236,1000,0.237,0.0005
high_cholesterol,health,0.3685,0.3577,0.3782,0.0205,1000,0.3691,0.0004
home_value,socioeconomic,0.1189,0.1044,0.1319,0.0275,1000,0.119,0.0005
income,socioeconomic,0.2675,0.247,0.2887,0.0417,1000,0.2677,0.0005
mental_health_not_good,health,0.2281,0.2082,0.2417,0.0335,1000,0.2279,0.0003
night_lights,environmental,0.0837,0.0763,0.0902,0.0138,1000,0.0838,0.0001
obesity,health,0.2474,0.2337,0.2621,0.0284,1000,0.2476,0.0002
physical_health_not_good,health,0.1677,0.1619,0.1735,0.0117,1000,0.1678,0.0001
physical_inactivity,health,0.1874,0.1801,0.1943,0.0142,1000,0.1875,0.0001
population_density,socioeconomic,0.1067,0.1012,0.1112,0.01,1000,0.1071,0.0003
sleep_less_7hr,health,0.2882,0.2765,0.3043,0.0278,1000,0.2882,0.0002
smoking,health,0.1793,0.1734,0.1828,0.0094,1000,0.1799,0.0004
stroke,health,0.2625,0.2411,0.2838,0.0427,1000,0.2625,0.0
tree_cover,environmental,0.3169,0.3038,0.3315,0.0277,1000,0.3175,0.0009
