target,target_family,arch_spread,n_ceiling,seed
night_lights,environmental,0.0910019039986415,0.08370000000000001,42
population_density,socioeconomic,0.07870088395675734,0.1067,42
elevation,environmental,0.32714002166801476,0.1175,42
home_value,socioeconomic,0.17970609957604333,0.1189,42
physical_health_not_good,health,0.05698979705292906,0.1677,42
dental_visit,health,0.05537378968159201,0.1747,42
smoking,health,0.03949919823032266,0.1793,42
physical_inactivity,health,0.05412883511830702,0.18739999999999998,42
copd,health,0.06803247306348303,0.19959999999999997,42
diabetes,health,0.05420111961825058,0.2204,42
mental_health_not_good,health,0.0744494432823033,0.2281,42
high_blood_pressure,health,0.07987556083725744,0.2363,42
obesity,health,0.05490765595116498,0.2474,42
bp_medicated,health,0.0867882665935713,0.2569,42
annual_checkup,health,0.1471695306585432,0.2607,42
stroke,health,0.05064709721866245,0.2625,42
arthritis,health,0.049822499121537134,0.2661,42
income,socioeconomic,0.040392081759556,0.2675,42
sleep_less_7hr,health,0.07825555756664204,0.2882,42
coronary_heart_disease,health,0.06760822637709529,0.2936,42
asthma,health,0.11122385859468165,0.3059,42
chronic_kidney_disease,health,0.057005152024366845,0.3098,42
tree_cover,environmental,0.17242143919179198,0.3169,42
cancer,health,0.05105797853898175,0.3223,42
cholesterol_screening,health,0.1681865492665669,0.3571,42
high_cholesterol,health,0.09816845001900287,0.3685,42
binge_drinking,health,0.11518411830626785,0.4436,42
night_lights,environmental,0.09023938954385813,0.08370000000000001,123
population_density,socioeconomic,0.07856228049600777,0.1075,123
elevation,environmental,0.33143773996891673,0.117,123
home_value,socioeconomic,0.1782157721651737,0.1197,123
physical_health_not_good,health,0.056662645999087435,0.168,123
dental_visit,health,0.05608441600417935,0.1753,123
smoking,health,0.03903070518045504,0.1802,123
physical_inactivity,health,0.05336985561760821,0.1875,123
copd,health,0.06891556276785471,0.19959999999999997,123
diabetes,health,0.053863060714473,0.2212,123
mental_health_not_good,health,0.07479080815858818,0.2275,123
high_blood_pressure,health,0.07905614801424843,0.2374,123
obesity,health,0.05565404052975098,0.2476,123
bp_medicated,health,0.08846433714191437,0.2599,123
annual_checkup,health,0.1501031768529515,0.2609,123
stroke,health,0.05058538746652852,0.2625,123
arthritis,health,0.051176257801152314,0.2659,123
income,socioeconomic,0.039865510027557116,0.2683,123
sleep_less_7hr,health,0.07770798685527192,0.2879,123
coronary_heart_disease,health,0.06870091434018688,0.2945,123
asthma,health,0.11186191321793681,0.3052,123
chronic_kidney_disease,health,0.058571830262143854,0.3108,123
tree_cover,environmental,0.17335276194081484,0.31880000000000003,123
cancer,health,0.051360318715767406,0.3215,123
cholesterol_screening,health,0.16767474684230044,0.3592,123
high_cholesterol,health,0.09967971570574363,0.3694,123
binge_drinking,health,0.11487023205153696,0.44380000000000003,123
night_lights,environmental,0.09039965516856818,0.0839,456
population_density,socioeconomic,0.07792411041369685,0.1072,456
home_value,socioeconomic,0.17722877667452253,0.1185,456
elevation,environmental,0.3267411578779601,0.1186,456
physical_health_not_good,health,0.057107952077443014,0.1677,456
dental_visit,health,0.05590516347530616,0.175,456
smoking,health,0.03867221275921562,0.1802,456
physical_inactivity,health,0.053177484060382696,0.1877,456
copd,health,0.06950905781016703,0.1999,456
diabetes,health,0.05451566481479608,0.2203,456
mental_health_not_good,health,0.07565733538464248,0.228,456
high_blood_pressure,health,0.07841900650155775,0.2374,456
obesity,health,0.054061099588908035,0.2479,456
bp_medicated,health,0.08477013063327032,0.2565,456
annual_checkup,health,0.1478163914995123,0.2592,456
stroke,health,0.05022179149441175,0.2626,456
arthritis,health,0.05059606107893089,0.2666,456
income,socioeconomic,0.03936019799413282,0.2672,456
sleep_less_7hr,health,0.07908504597952681,0.2884,456
coronary_heart_disease,health,0.06703038916288595,0.2941,456
asthma,health,0.11195404732514569,0.3058,456
chronic_kidney_disease,health,0.05539459356056442,0.3095,456
tree_cover,environmental,0.17472115584906783,0.3168,456
cancer,health,0.05155828593073353,0.3216,456
cholesterol_screening,health,0.16721736566776357,0.3594,456
high_cholesterol,health,0.09963508057051351,0.3693,456
binge_drinking,health,0.1163763101732117,0.4423,456
