target,family,mean_r2,mean_R,mean_alpha,mean_proxy_k,mean_theory_k,mean_sigma,frac_pooled,n_degenerate,rho_t,pairwise_acc
annual_checkup,health,0.5971,0.3354,0.5107,0.2245,0.169,0.3224,1.0,0,0.7,0.7667
arthritis,health,0.6688,0.3404,0.5161,0.2295,0.1848,0.3203,1.0,0,0.0667,0.4667
asthma,health,0.6061,0.337,0.5107,0.2251,0.156,0.3236,1.0,0,0.2333,0.6
binge_drinking,health,0.4687,0.3386,0.5142,0.2275,0.1896,0.3211,1.0,0,0.7,0.8
bp_medicated,health,0.6245,0.3419,0.5226,0.2323,0.1767,0.3123,1.0,0,0.5,0.7
cancer,health,0.5818,0.3374,0.5156,0.2274,0.1882,0.318,1.0,0,0.5333,0.7
cholesterol_screening,health,0.4993,0.3402,0.5204,0.2301,0.1493,0.3146,1.0,0,0.4667,0.7333
chronic_kidney_disease,health,0.6017,0.335,0.5098,0.2246,0.1727,0.322,1.0,0,0.3667,0.6333
copd,health,0.7286,0.322,0.4896,0.2112,0.1414,0.3359,1.0,0,-0.1333,0.4667
coronary_heart_disease,health,0.6288,0.334,0.5088,0.2235,0.1657,0.3228,1.0,0,0.6667,0.8
dental_visit,health,0.7649,0.3258,0.4913,0.2137,0.1524,0.3378,1.0,0,-0.2333,0.4
diabetes,health,0.7113,0.3351,0.5102,0.2245,0.1567,0.3221,1.0,0,0.3,0.6
high_blood_pressure,health,0.684,0.3363,0.5103,0.2254,0.1533,0.3233,1.0,0,0.3667,0.6333
high_cholesterol,health,0.5447,0.3351,0.5083,0.2243,0.2108,0.3245,1.0,0,0.2333,0.6333
mental_health_not_good,health,0.6932,0.3304,0.4999,0.2188,0.1418,0.3311,1.0,0,-0.0333,0.5
obesity,health,0.6991,0.3328,0.5019,0.2207,0.2073,0.3311,1.0,0,-0.1667,0.4667
physical_health_not_good,health,0.768,0.3267,0.4935,0.2148,0.1352,0.3354,1.0,0,0.4667,0.6667
physical_inactivity,health,0.759,0.3289,0.4975,0.2173,0.1441,0.3329,1.0,0,0.1,0.5333
sleep_less_7hr,health,0.6412,0.3293,0.497,0.2171,0.1718,0.3338,1.0,0,0.1667,0.5667
smoking,health,0.7634,0.3305,0.5007,0.2193,0.1451,0.3304,1.0,0,-0.1333,0.4333
stroke,health,0.6618,0.3334,0.5087,0.2235,0.1607,0.3222,1.0,0,0.6333,0.7667
home_value,socioeconomic,0.7259,0.339,0.5319,0.2308,0.152,0.3006,1.0,0,0.9667,0.9667
income,socioeconomic,0.6432,0.3203,0.4892,0.2089,0.1965,0.3351,1.0,0,0.2333,0.6
population_density,socioeconomic,0.7676,0.3349,0.5121,0.2244,0.1214,0.3211,1.0,0,0.6,0.7333
elevation,environmental,0.5127,0.3549,0.5712,0.2424,0.1353,0.2743,1.0,0,0.9333,0.9333
night_lights,environmental,0.82,0.2853,0.4454,0.1714,0.1148,0.3557,1.0,0,0.8333,0.8667
tree_cover,environmental,0.5191,0.3161,0.4842,0.2043,0.1697,0.3382,1.0,0,0.7667,0.8667
