solver,R_mean,S_mean,N_mean,alpha_mean,kappa_mean,sigma_mean,omega_mean,alpha_omega_mean,tau_mean,entropy_mean,collapse_risk_mean
mean_baseline,0.2901,0.329,0.2215,0.5712,0.2194,0.2537,0.671,0.548,1.828,1.0519,0.3045
noisy_solver,0.347,0.3407,0.2962,0.5409,0.2443,0.1087,0.6593,0.527,1.9,1.0931,0.1547
linear_ridge,0.3293,0.3355,0.2925,0.5328,0.2307,0.158,0.6645,0.5216,1.925,1.0862,0.1955
svr_rbf,0.3261,0.3386,0.2999,0.5235,0.2261,0.1448,0.6614,0.5157,1.944,1.0895,0.1942
knn,0.3249,0.341,0.315,0.5084,0.2218,0.126,0.659,0.5054,1.982,1.0939,0.1638
lightgbm,0.326,0.3387,0.3172,0.5073,0.222,0.1269,0.6613,0.5047,1.985,1.0945,0.1546
random_forest,0.319,0.3373,0.3164,0.5031,0.2168,0.1384,0.6627,0.5018,1.996,1.0927,0.1913
mlp_regressor,0.304,0.326,0.3008,0.5033,0.205,0.1362,0.674,0.5023,1.993,1.0762,0.1216
hrm_regressor,0.3214,0.336,0.2963,0.5245,0.2234,0.1534,0.664,0.5164,1.943,1.085,0.199
pca_v1,0.3268,0.3339,0.3143,0.5108,0.223,0.1445,0.6661,0.5069,1.976,1.0934,0.1658
spatial_lag_v1,0.324,0.3379,0.3147,0.5091,0.2215,0.1364,0.6621,0.5058,1.982,1.0932,0.158
gnn_v2,0.3252,0.3353,0.3133,0.5113,0.222,0.1371,0.6647,0.5076,1.975,1.0926,0.1739
