Target,Emb x Solver,R,S,N,alpha,kappa,sigma,kappa_req,Margin,Gate
Diabetes,PCA32 x HistGBDT,0.329,0.337,0.328,0.502,0.140,0.328,0.220,-0.080,re_encode
Diabetes,PCA32 x Ridge,0.331,0.331,0.320,0.510,0.150,0.320,0.220,-0.070,re_encode
Diabetes,PCA32 x MLP,0.336,0.338,0.315,0.516,0.114,0.315,0.220,-0.106,re_encode
Diabetes,Spatial Lag x HistGBDT,0.329,0.333,0.332,0.497,0.134,0.332,0.220,-0.086,re_encode
Diabetes,Spatial Lag x Ridge,0.335,0.340,0.317,0.515,0.155,0.317,0.220,-0.065,re_encode
Diabetes,Spatial Lag x MLP,0.337,0.341,0.317,0.515,0.111,0.317,0.220,-0.109,re_encode
Diabetes,GNN x HistGBDT,0.332,0.331,0.335,0.498,0.030,0.335,0.220,-0.190,re_encode
Diabetes,GNN x Ridge,0.330,0.330,0.339,0.493,0.040,0.339,0.220,-0.180,re_encode
Diabetes,GNN x MLP,0.330,0.334,0.335,0.497,0.022,0.335,0.220,-0.198,re_encode
Pop. density,PCA32 x HistGBDT,0.329,0.343,0.302,0.521,0.064,0.302,0.220,-0.156,re_encode
Pop. density,PCA32 x Ridge,0.328,0.337,0.285,0.534,0.128,0.285,0.220,-0.092,re_encode
Pop. density,PCA32 x MLP,0.331,0.335,0.317,0.511,0.074,0.317,0.220,-0.146,re_encode
Pop. density,Spatial Lag x HistGBDT,0.310,0.348,0.336,0.480,0.075,0.336,0.220,-0.145,re_encode
Pop. density,Spatial Lag x Ridge,0.337,0.348,0.291,0.538,0.175,0.291,0.220,-0.045,re_encode
Pop. density,Spatial Lag x MLP,0.325,0.349,0.321,0.503,0.089,0.321,0.220,-0.131,re_encode
Pop. density,GNN x HistGBDT,0.326,0.328,0.342,0.487,0.008,0.342,0.220,-0.212,re_encode
Pop. density,GNN x Ridge,0.327,0.327,0.344,0.486,0.024,0.344,0.220,-0.196,re_encode
Pop. density,GNN x MLP,0.333,0.329,0.335,0.498,0.008,0.335,0.220,-0.212,re_encode
Elevation,PCA32 x HistGBDT,0.329,0.349,0.250,0.570,0.041,0.250,0.220,-0.179,re_encode
Elevation,PCA32 x Ridge,0.295,0.323,0.201,0.599,0.123,0.201,0.220,-0.097,re_encode
Elevation,PCA32 x MLP,0.331,0.354,0.246,0.582,0.045,0.246,0.220,-0.175,re_encode
Elevation,Spatial Lag x HistGBDT,0.317,0.359,0.265,0.549,0.044,0.265,0.220,-0.176,re_encode
Elevation,Spatial Lag x Ridge,0.295,0.356,0.240,0.554,0.126,0.240,0.220,-0.094,re_encode
Elevation,Spatial Lag x MLP,0.350,0.345,0.244,0.593,0.043,0.244,0.220,-0.177,re_encode
Elevation,GNN x HistGBDT,0.331,0.328,0.336,0.496,0.018,0.336,0.220,-0.202,re_encode
Elevation,GNN x Ridge,0.329,0.324,0.345,0.487,0.090,0.345,0.220,-0.130,re_encode
Elevation,GNN x MLP,0.335,0.330,0.329,0.505,0.014,0.329,0.220,-0.206,re_encode
